SDFB,SDFP,SFE,RPF,LABEL
9553210.434245078,54903.46294522919,176,0.21714285714285714,1
9513304.676278409,54674.11975450018,178,0.21468926553672316,1
9473487.44022548,54445.285307217615,180,0.2122905027932961,1
9434475.611452146,54221.07963394621,182,0.20994475138121546,1
9382849.568827637,53924.37847634481,184,0.20765027322404372,1
9368533.30263774,53842.10132248612,186,0.20540540540540542,1
9318401.507312067,53553.98778407259,188,0.20320855614973263,1
9283902.318789408,53355.716811026585,190,0.20105820105820105,1
9251818.60551407,53171.32787665779,192,0.19895287958115182,1
9219949.618256278,52988.17299893782,194,0.19689119170984457,1
9187861.386189463,52803.75809087162,196,0.19487179487179487,1
9141160.564694434,52535.3627776838,198,0.19289340101522842,1
9138686.775642974,52521.14584500947,200,0.19095477386934673,1
9093683.011856696,52262.503719538036,202,0.1890547263681592,1
9072279.913084261,52139.49762493452,204,0.18719211822660098,1
9047014.97973336,51994.297071667155,206,0.18536585365853658,1
9015785.621390602,51814.81820345839,208,0.18357487922705315,1
8986272.701760583,51645.20392267596,210,0.18181818181818182,1
8956384.161472624,51473.430898223814,212,0.18009478672985782,1
8925338.515539907,51295.00783994746,214,0.1784037558685446,1
8894569.28078665,51118.173350465935,216,0.17674418604651163,1
8864746.299897049,50946.77709883473,218,0.17511520737327188,1
8824183.79047617,50713.65941712835,220,0.1735159817351598,1
8805726.44259714,50607.582882096634,222,0.17194570135746606,1
8766181.080735104,50380.31087295765,224,0.17040358744394618,1
8739938.42645181,50229.49120317955,226,0.1688888888888889,1
8712931.680714147,50074.2802013288,228,0.16740088105726872,1
8685442.773643075,49916.29815576833,230,0.16593886462882096,1
8658463.011557752,49761.24222872531,232,0.1645021645021645,1
8632743.054455517,49613.426558401356,234,0.1630901287553648,1
8607814.95393779,49470.1617860372,236,0.16170212765957448,1
8571492.895579848,49261.41449555419,238,0.16033755274261605,1
8556510.939266345,49175.31146256927,240,0.1589958158995816,1
8521018.832736304,48971.33400636198,242,0.15767634854771784,1
8504904.81983369,48878.72489437338,244,0.15637860082304528,1
