switch,duration,n_packets,n_bytes,dl_src,dl_dst,nw_src,nw_dst,tp_src,tp_dst,actions,packets_per_s,bytes_per_s
s2,56.247,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,56.245,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,56.935,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,56.933,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,57.622,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,57.620,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,58.314,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,58.312,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,59.040,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,59.038,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,59.766,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,59.764,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,60.466,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,60.464,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,61.286,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,61.284,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,61.996,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,61.994,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,62.692,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,62.690,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,63.399,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,63.397,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,64.077,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,64.075,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s1,0.260,0,0,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,0,0
s1,0.258,0,0,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,64.820,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,64.818,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,0.446,0,0,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,0,0
s2,0.442,0,0,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s1,1.136,1,98,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,1,98
s1,1.134,1,98,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,1,98
s2,65.746,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,65.744,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,1.372,1,98,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,1,98
s2,1.368,1,98,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,1,98
s1,2.066,1,98,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,0,0
s1,2.064,1,98,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,66.629,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,66.627,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,2.255,1,98,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,0,0
s2,2.251,1,98,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s1,2.852,2,196,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,1,98
s1,2.850,2,196,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,1,98
s2,67.466,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,67.464,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,3.092,2,196,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,1,98
s2,3.088,2,196,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,1,98
s1,3.721,3,294,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,1,98
s1,3.719,3,294,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,1,98
s2,68.279,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,68.277,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,3.905,3,294,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,1,98
s2,3.901,3,294,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,1,98
s1,4.552,4,392,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,1,98
s1,4.550,4,392,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,1,98
s2,69.126,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,69.124,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,4.752,4,392,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,1,98
s2,4.748,4,392,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,1,98
s1,5.418,5,490,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,1,98
s1,5.416,5,490,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,1,98
s2,5.620,5,490,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,1,98
s2,5.616,5,490,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,1,98
s1,6.215,5,490,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,0,0
s1,6.213,5,490,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,6.402,6,588,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,1,98
s2,6.398,6,588,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,1,98
s1,6.956,6,588,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,1,98
s1,6.954,6,588,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,1,98
s2,7.136,6,588,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,0,0
s2,7.132,6,588,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s1,7.736,7,686,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,1,98
s1,7.734,7,686,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,1,98
s2,7.935,7,686,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,1,98
s2,7.931,7,686,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,1,98
s1,8.551,8,784,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,1,98
s1,8.549,8,784,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,1,98
s2,8.730,8,784,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,1,98
s2,8.726,8,784,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,1,98
s1,9.336,9,882,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,1,98
s1,9.334,9,882,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,1,98
s2,9.542,9,882,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,1,98
s2,9.538,9,882,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,1,98
s1,10.145,9,882,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,0,0
s1,10.143,9,882,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,10.331,10,980,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,1,98
s2,10.327,10,980,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,1,98
s1,10.929,10,980,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,1,98
s1,10.927,10,980,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,1,98
s2,11.120,10,980,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,0,0
s2,11.116,10,980,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s1,11.726,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,1,98
s1,11.724,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,1,98
s2,11.916,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,1,98
s2,11.912,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,1,98
s1,12.497,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,0,0
s1,12.495,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,12.689,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,0,0
s2,12.685,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
